fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
287,3571,49.8174,11.8638,452,Neustadt am Kulm-Filchendorf Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
400,5397,49.6662,12.1844,440,Weiden Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
357,4559,49.1644,12.6175,398,Schorndorf-Knöbling Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
262,3271,48.8548,12.9189,314,Metten Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
430,5802,49.0007,13.2137,615,Zwieselberg Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
429,5800,49.028,13.2385,615,Zwiesel Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
346,4354,48.7832,13.3146,457,Saldenburg-Entschenreuth Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
312,3879,48.5781,13.4696,409,Passau-Oberhaus Bayern,Frei,51,112,Verwitterungsböden in den Höhenlagen (östliches Bayern) 
201,2597,50.224,10.0792,282,"Kissingen, Bad Bayern",Frei,52,113,Nordwestbayern-Franken 
381,5032,49.885,9.8469,197,Thüngersheim Bayern,Frei,52,113,Nordwestbayern-Franken 
423,5703,49.7964,9.8949,170,Würzburg/Main Bayern,Frei,52,113,Nordwestbayern-Franken 
424,5705,49.7704,9.9576,268,Würzburg Bayern,Frei,52,113,Nordwestbayern-Franken 
292,3603,49.3895,9.9666,459,Niederstetten Baden-Württemberg,Frei,52,113,Nordwestbayern-Franken 
340,4287,49.3849,10.1732,415,Rothenburg ob der Tauber Bayern,Frei,52,113,Nordwestbayern-Franken 
92,1107,49.852,10.4991,346,Ebrach Bayern,Frei,52,113,Nordwestbayern-Franken 
286,3565,49.5728,10.6001,315,Neustadt/Aisch Bayern,Frei,52,113,Nordwestbayern-Franken 
255,3181,49.4875,10.6277,360,Markt Erlbach-Hagenhofen Bayern,Frei,52,113,Nordwestbayern-Franken 
23,283,49.8808,10.8695,382,Bamberg-Altenburg Bayern,Frei,52,113,Nordwestbayern-Franken 
22,282,49.8743,10.9206,240,Bamberg Bayern,Frei,52,113,Nordwestbayern-Franken 
352,4438,49.975,11.0395,317,Scheßlitz Bayern,Frei,52,113,Nordwestbayern-Franken 
301,3668,49.503,11.0549,314,Nürnberg Bayern,Frei,52,113,Nordwestbayern-Franken 
392,5185,49.5933,11.0704,291,Uttenreuth Bayern,Frei,52,113,Nordwestbayern-Franken 
339,4280,49.2162,11.1035,386,Roth Bayern,Frei,52,113,Nordwestbayern-Franken 
453,6312,49.5314,10.6418,362,Markt Erlbach-Mosbach Bayern,Frei,52,113,Nordwestbayern-Franken 
57,634,49.4442,9.6458,373,Boxberg-Seehof,Baden-Württemberg,52,113,Nordwestbayern-Franken 
69,755,49.5182,9.3213,340,"Buchen, Kr. Neckar-Odenwald Baden-Württemberg",Frei,52,113,Nordwestbayern-Franken 
48,502,49.8643,9.5044,371,Bischbrunn-Oberndorf Bayern,Frei,52,113,Nordwestbayern-Franken 
63,685,49.9017,9.4281,585,Breitsol Bayern,Frei,52,113,Nordwestbayern-Franken 
240,3056,50.0103,9.61,161,Lohr/Main-Steinbach Bayern,Frei,52,113,Nordwestbayern-Franken 
455,6336,50.0132,9.654,288,Lohr/Main-Halsbach Bayern,Frei,52,113,Nordwestbayern-Franken 
460,7187,49.7636,9.4063,194,Freudenberg/Main-Boxtal Baden-Württemberg,Frei,52,113,Nordwestbayern-Franken 
480,7412,50.0083,9.4238,340,Neuhütten/Spessart Bayern,Frei,52,113,Nordwestbayern-Franken 
