fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
1236,6266,52.0304,10.9626,112,Huy-Pabstorf Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
1261,7321,51.1507,11.3321,157,Olbersleben Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
1289,7420,51.1045,11.7113,246,Naumburg/Saale-Kreipitzsch Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
1359,19406,51.0833,11.6333,132,"Sulza, Bad Thüringen",Frei,44,107,Lößböden in der Ackerebene (Ost) 
1060,5267,52.0722,11.0222,86,Wackersleben Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
1049,5158,52.1601,11.1759,159,Ummendorf Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
657,3126,52.1029,11.5827,79,Magdeburg Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
364,1612,50.8812,12.1289,311,Gera-Leumnitz Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
201,888,50.8149,12.3821,269,Crimmitschau Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
19,116,50.9833,12.4333,213,Altenburg Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
190,853,50.7913,12.872,416,Chemnitz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
23,131,51.0881,12.9326,296,Geringswalde-Altgeringswalde Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
197,876,51.304,13.0096,314,Collmberg Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
228,1003,51.1333,13.1167,201,Döbeln Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
331,1441,50.9263,13.2711,416,Freiberg Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
217,965,51.2401,13.4166,100,Diesbar-Seußlitz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
682,3234,51.1294,13.4328,158,Klipphausen-Garsebach Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
796,3811,51.296,13.0928,151,Oschatz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1011,4997,50.9771,12.3419,196,Starkenberg-Tegkwitz Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1152,5750,51.0314,12.1495,264,Zeitz Sachsen-Anhalt,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1185,6095,51.0838,13.4486,273,Taubenheim-Seeligstadt Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1245,6314,51.0507,13.3003,306,Nossen Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1316,13923,50.7114,12.499,268,Zwickau-Stadt Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
1361,19510,51.1,12.33,159,Lucka Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
