fid,id,lat,lon,height,name,state,fid_2,id_2,lat_2,lon_2,height_2,name_2,state_2,id_3,OBJID,BEGINN,GF,NUTS_LEVEL,NUTS_CODE,NUTS_NAME
98,5440,49.0115,10.9308,439,Weißenburg-Emetzheim Bayern,Frei,1098,5440,49.0115,10.9308,439,Weißenburg-Emetzheim Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
99,4438,49.975,11.0395,317,Scheßlitz Bayern,Frei,912,4438,49.975,11.0395,317,Scheßlitz Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
100,3668,49.503,11.0549,314,Nürnberg Bayern,Frei,771,3668,49.503,11.0549,314,Nürnberg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
101,5185,49.5933,11.0704,291,Uttenreuth Bayern,Frei,1051,5185,49.5933,11.0704,291,Uttenreuth Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
102,4280,49.2162,11.1035,386,Roth Bayern,Frei,870,4280,49.2162,11.1035,386,Roth Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
103,3484,48.7085,11.2147,379,Neuburg an der Donau Bayern,Frei,728,3484,48.7085,11.2147,379,Neuburg an der Donau Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
104,2691,48.6707,11.2173,378,Königsmoos-Untermaxfeld Bayern,Frei,563,2691,48.6707,11.2173,378,Königsmoos-Untermaxfeld Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
105,1161,48.8778,11.2349,385,Eichstätt-Landershofen Bayern,Frei,261,1161,48.8778,11.2349,385,Eichstätt-Landershofen Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
106,1473,49.1869,11.308,414,Freystadt-Michelbach Bayern,Frei,337,1473,49.1869,11.308,414,Freystadt-Michelbach Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
107,2521,48.6725,11.3092,376,Karlshuld Bayern,Frei,530,2521,48.6725,11.3092,376,Karlshuld Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
108,1587,48.9481,11.4289,536,Gelbelsee Bayern,Frei,359,1587,48.9481,11.4289,536,Gelbelsee Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
109,320,49.9666,11.5198,350,Heinersreuth-Vollhof Bayern,Frei,68,320,49.9666,11.5198,350,Heinersreuth-Vollhof Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
110,2700,48.8302,11.4872,416,Kösching Bayern,Frei,566,2700,48.8302,11.4872,416,Kösching Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
111,3975,49.4777,11.5357,522,Pommelsbrunn-Mittelburg Bayern,Frei,825,3975,49.4777,11.5357,522,Pommelsbrunn-Mittelburg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
112,2410,48.7111,11.5363,364,Ingolstadt-Manching Bayern,Frei,503,2410,48.7111,11.5363,364,Ingolstadt-Manching Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
113,6158,49.2249,10.6085,454,Weidenbach-Weiherschneidbach Bayern,Frei,1203,6158,49.2249,10.6085,454,Weidenbach-Weiherschneidbach Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
