id,lat,lon,height,name,state
00314,51.1604,14.5042,234.0,"Kubschütz, Kr. Bautzen Sachsen",Frei
00320,49.9666,11.5198,350.0,Heinersreuth-Vollhof Bayern,Frei
00321,47.6797,12.0017,789.0,Bayrischzell Bayern,Frei
00326,51.7204,8.0577,120.0,Beckum-Unterberg Nordrhein-Westfalen,Frei
00327,53.6234,8.8323,27.0,Bederkesa Niedersachsen,Frei
00330,49.5617,8.9673,455.0,Oberzent-Beerfelden Hessen,Frei
00335,54.3426,10.6018,4.0,Behrensdorf Schleswig-Holstein,Frei
00341,47.7277,7.552,235.0,"Bellingen, Bad",Baden-Württemberg
00342,52.317,8.1694,103.0,Belm Niedersachsen,Frei
00348,50.4135,7.5886,127.0,Bendorf Rheinland-Pfalz,Frei
00350,51.6715,10.7268,540.0,Benneckenstein,Sachsen-Anhalt
00351,51.6926,10.6978,502.0,Oberharz am Brocken-Sorge Sachsen-Anhalt,Frei
00355,49.6789,8.6276,140.0,Bensheim Hessen,Frei
00361,47.6344,13.0109,550.0,Berchtesgaden (KKst) Bayern,Frei
00365,49.3311,11.4303,421.0,Berg/Oberpfalz Bayern,Frei
00368,52.8152,9.9248,69.0,Bergen Niedersachsen,Frei
00377,49.107,7.9967,210.0,"Bergzabern, Bad Rheinland-Pfalz",Frei
00379,50.9075,11.2665,304.0,"Berka, Bad (Flugplatz) Thüringen",Frei
00386,51.0454,8.3851,445.0,"Berleburg, Bad Nordrhein-Westfalen",Frei
00390,50.9837,8.3683,611.0,"Berleburg, Bad-Stünzel Nordrhein-Westfalen",Frei
00395,52.4167,13.4833,38.0,Berlin-Adlershof Berlin,Frei
00399,52.5198,13.4057,36.0,Berlin-Alexanderplatz Berlin,Frei
00400,52.631,13.5021,60.0,Berlin-Buch Berlin,Frei
00402,52.4564,13.2997,55.0,Berlin-Dahlem (LFAG) Berlin,Frei
00403,52.4537,13.3017,51.0,Berlin-Dahlem (FU) Berlin,Frei
00405,52.45,13.65,37.0,Berlin-Friedrichshagen Berlin,Frei
00407,52.6461,13.2858,48.0,Berlin-Frohnau Berlin,Frei
00408,52.5333,13.3833,35.0,Berlin-Invalidenstraße Berlin,Frei
00410,52.404,13.7309,33.0,Berlin-Kaniswall Berlin,Frei
00416,52.4069,13.4127,47.0,Berlin-Lichtenrade Berlin,Frei
00417,52.4144,13.3036,43.0,Berlin-Lichterfelde (Süd) Berlin,Frei
00420,52.5447,13.5598,61.0,Berlin-Marzahn Berlin,Frei
00422,52.5333,13.3833,35.0,Berlin-Mitte Berlin,Frei
00424,52.5,13.4667,36.0,Berlin-Ostkreuz Berlin,Frei
00425,52.4044,13.4838,38.0,Berlin-Rudow Berlin,Frei
00427,52.3807,13.5306,46.0,Berlin Brandenburg Brandenburg,Frei
00429,52.5667,13.1694,32.0,Berlin-Spandau Berlin,Frei
00430,52.5644,13.3088,36.0,Berlin-Tegel Berlin,Frei
00432,52.6044,13.2952,36.0,Berlin-Tegeler Fliesstal Berlin,Frei
00433,52.4676,13.402,48.0,Berlin-Tempelhof Berlin,Frei
00434,52.4553,13.4699,35.0,Berlin-Treptow Berlin,Frei
00435,52.4289,13.2327,45.0,Berlin-Zehlendorf Berlin,Frei
00445,51.8218,11.711,85.0,Bernburg/Saale (Nord) Sachsen-Anhalt,Frei
00450,49.9186,7.0664,120.0,Bernkastel-Kues Rheinland-Pfalz,Frei
00458,50.0699,7.0306,185.0,"Bertrich, Bad",Rheinland-Pfalz
00460,49.2641,6.6868,362.0,Berus Saarland,Frei
00474,48.1252,9.7639,599.0,Warthausen-Birkenhard Baden-Württemberg,Frei
00480,50.9275,8.4937,296.0,Biedenkopf-Wallau Hessen,Frei
00502,49.8643,9.5044,371.0,Bischbrunn-Oberndorf Bayern,Frei
00508,50.0539,11.8149,675.0,Bischofsgrün,Bayern
00524,51.6333,12.3167,80.0,Bitterfeld Sachsen-Anhalt,Frei
00526,50.6738,11.2805,254.0,"Blankenburg, Bad Thüringen",Frei
00535,50.0372,7.3079,417.0,Blankenrath Rheinland-Pfalz,Frei
00550,50.9041,11.7985,344.0,Bobeck Thüringen,Frei
00553,51.838,6.6107,25.0,Bocholt (Marienschule) Nordrhein-Westfalen,Frei
00554,51.8293,6.5365,23.0,Bocholt-Liedern (Wasserwerk) Nordrhein-Westfalen,Frei
00555,51.5026,7.2289,110.0,Bochum Nordrhein-Westfalen,Frei
00570,49.0768,13.0765,648.0,Bodenmais-Mais,Bayern
00576,48.6759,8.9732,445.0,Böblingen Baden-Württemberg,Frei
00578,48.9451,11.3667,379.0,Böhming Bayern,Frei
00588,51.752,9.3953,105.0,Boffzen Niedersachsen,Frei
00591,53.3911,10.6878,45.0,Boizenburg Mecklenburg-Vorpommern,Frei
00592,53.8634,9.7344,10.0,Bokel Schleswig-Holstein,Frei
00594,48.6407,9.6136,425.0,"Boll, Bad (KKst)",Baden-Württemberg
00596,54.0027,11.1908,15.0,Boltenhagen Mecklenburg-Vorpommern,Frei
00598,50.7285,7.0839,62.0,Bonn Nordrhein-Westfalen,Frei
