"Year","named_location","group","State","lat","lon","n_site_yr","spread_flower_site_yr","pseudoR2_gau","badfit_gau","beta0_gau","beta1_gau","beta2_gau","AIC_gau","R2_lm","beta0_lm","beta1_lm","beta1_lm_sig","AIC_lm","preferred_mod","mod_for_cens","higher_R2","AIC_delta","n_predictors","site_yr","decade","subset"
2002,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,84,12,0.165,"FALSE",-84.91801046,0.8664566,-0.00202015,1239.6277,0.1509,3.365,0.0218,3e-04,1239.0347,"linear","gauss","gaussian",0.593000000000075,2,"2002_Casselton_ASF","4","all_exactloc"
2003,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,68,9,0.079,"TRUE",117.47804444,-1.00343416,0.00229737,947.1506,0.0651,5.3754,0.0116,0.0346,946.1674,"linear","linear","gaussian",0.983200000000011,2,"2003_Casselton_ASF","4","all_exactloc"
2004,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,137,10,0.0219,"FALSE",-132.08724,1.25143823,-0.00280351,1904.8598,0.01,8.9834,-0.0064,0.2493,1904.5151,"linear","gauss","gaussian",0.344699999999875,2,"2004_Casselton_ASF","4","all_exactloc"
2005,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,93,15,5e-04,"TRUE",18.47769698,-0.09980214,0.00023759,1373.5438,1e-04,7.9314,3e-04,0.9436,1371.5844,"linear","exclude","gaussian",1.95939999999996,2,"2005_Casselton_ASF","4","all_exactloc"
2006,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,99,11,0.0073,"FALSE",-30.52804434,0.37415803,-0.00090929,1436.9986,0.0049,7.205,0.0037,0.493,1435.2402,"linear","gauss","gaussian",1.75839999999994,2,"2006_Casselton_ASF","4","all_exactloc"
2009,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,60,11,0.0302,"FALSE",-56.04042894,0.56540206,-0.00124841,858.1442,0.0255,6.0906,0.0084,0.2283,856.4363,"linear","gauss","gaussian",1.7079,2,"2009_Casselton_ASF","4","all_exactloc"
2010,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,65,10,0.0947,"FALSE",-856.99919566,8.08818547,-0.01891889,976.8275,0.0259,2.4871,0.023,0.219,979.5872,"gaussian","gauss","gaussian",-2.75970000000007,2,"2010_Casselton_ASF","5","all_exactloc"
2007,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,74,8,0.0548,"FALSE",-317.52785188,3.09875881,-0.00738059,1066.2073,0.0235,10.4558,-0.0131,0.1998,1066.622,"gaussian","gauss","gaussian",-0.414700000000039,2,"2007_Casselton_ASF","4","all_exactloc"
2008,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,78,13,0.0148,"FALSE",-85.23311316,0.85405229,-0.00195674,1164.4445,0.0032,7.2232,0.0033,0.6274,1163.3626,"linear","gauss","gaussian",1.08190000000013,2,"2008_Casselton_ASF","4","all_exactloc"
1987,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,4,14,0.8527,"FALSE",-13.10219902,0.19303258,-0.00044,54.3288,0.8462,5.4889,0.0121,0.0812,52.5023,"linear","gauss","gaussian",1.8265,2,"1987_Casselton_ASF","2","all_exactloc"
1990,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,55,12,0.2574,"FALSE",-42.13743631,0.46926154,-0.00109853,748.2947,0.2512,3.4172,0.0218,1e-04,746.7499,"linear","gauss","gaussian",1.54480000000001,2,"1990_Casselton_ASF","3","all_exactloc"
1992,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,62,11,0.1098,"FALSE",-90.72308301,0.90426764,-0.00207259,832.0012,0.0756,5.9915,0.0088,0.0329,832.3407,"gaussian","gauss","gaussian",-0.33949999999993,2,"1992_Casselton_ASF","3","all_exactloc"
1993,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,71,13,0.0439,"FALSE",-87.37125896,0.84129723,-0.00186096,955.3755,0.0214,6.3847,0.0059,0.2287,955.0301,"linear","gauss","gaussian",0.345400000000041,2,"1993_Casselton_ASF","3","all_exactloc"
1994,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,106,15,0.0797,"TRUE",74.21014075,-0.65675344,0.00162014,1549.1087,0.0627,5.1045,0.0125,0.0095,1549.0538,"linear","linear","gaussian",0.0549000000000888,2,"1994_Casselton_ASF","3","all_exactloc"
1995,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,96,12,0.0677,"TRUE",363.16229906,-3.34939228,0.00788341,1394.9609,8e-04,6.8149,0.0029,0.7712,1399.6083,"gaussian","exclude","gaussian",-4.64740000000006,2,"1995_Casselton_ASF","3","all_exactloc"
1996,"Casselton_ASF","Casselton_ASF","ND",46.8871,-97.2305,119,12,0.1456,"FALSE",-139.758997,1.37291297,-0.00319354,1667.9499,0.1215,12.3434,-0.0211,1e-04,1669.2652,"gaussian","gauss","gaussian",-1.31529999999998,2,"1996_Casselton_ASF","3","all_exactloc"
